Country,Expenditure,Sightings,Investigated,Population,Continent
Singapore,131913.3,4850,81,5850343,Asia
Slovakia,79969.7,1036,74,5459643,Europe
Slovenia,36039.8,1284,73,2078932,Europe
Somalia,198877,194,24,15893219,Africa
South Africa,6975.8,3922,72,59308690,Africa
South Sudan,5897.3,3910,41,11193729,Africa
Spain,24999.9,11900,91,46754783,Europe
Sri Lanka,1329.3,2821,10,21413250,Asia
Sudan,16059.4,2834,25,43849269,Africa
Suriname,53424.3,3,32,586634,South America
Sweden,55115.6,1039,1,10099270,Europe
Switzerland,63214.3,8381,99,8654618,Europe
Syria,26929.6,20482,6,17500657,Asia
Taiwan,21405.4,829,18,23816775,Asia
Tajikistan,80567.9,283,99,9537642,Asia
Tanzania,130126.1,42,85,56320000,Africa
Thailand,82477.7,292,24,69799978,Asia
Togo,26345.4,332,75,8278737,Africa
Trinidad and Tobago,816586.8,33,13,1399491,North America
Tunisia,1023.3,9,67,11818618,Africa
Turkey,143434.2,2930,16,84339067,Asia
Uganda,73732.7,39,64,45741000,Africa
Ukraine,5955.3s,23999,9,43733759,Europe
United Arab Emirates,15852.7,2339,58,9890400,Asia
United Kingdom,441224.2,10905,30,67886004,Europe
Uruguay,3962.6,392,65,3473727,South America
United States,124903.5,65114,30,331002647,North America
Uzbekistan,4384.4,2394,92,33469199,Asia
Venezuela,43.5,284,95,28435943,South America
Vietnam,2135.7,6933,97,97338583,Asia
Zambia,5396.3,58,68,18383956,Africa
Zimbabwe,4813.5,29,9,14862927,Africa
